TFN,Period Start,Period End,Gross,Withheld,Net
11111111,2024-07-01,2024-07-14,9000,900,8100
11111111,2024-07-15,2024-07-28,8000,800,7200
22222222,2024-07-01,2024-07-14,22000,2000,20000
22222222,2024-07-15,2024-07-28,23000,2100,20900
33333333,2024-07-01,2024-07-14,30000,4000,26000
33333333,2024-07-15,2024-07-28,35000,5000,30000
33333333,2024-07-29,2024-08-11,38000,5500,32500
44444444,2024-07-01,2024-07-14,60000,7000,53000
44444444,2024-07-15,2024-07-28,65000,7200,57800
55555555,2024-07-01,2024-07-14,85000,8500,76500
55555555,2024-07-15,2024-07-28,90000,9500,80500
55555555,2024-07-29,2024-08-11,10000,1100,8900
66666666,2024-07-01,2024-07-14,120000,14000,106000
66666666,2024-07-15,2024-07-28,25000,3000,22000
77777777,2024-07-01,2024-07-14,100000,13000,87000
77777777,2024-07-15,2024-07-28,50000,6000,44000
77777777,2024-07-29,2024-08-11,30000,4000,26000
